name,type_label,description,lat,lng,origin,external_id,status
Trinkbrunnen,drinking_fountain,,48.2129137905,16.3259277159,verified,vienna:2255748,verified
Trinkbrunnen,drinking_fountain,,48.239938381,16.4737957678,verified,vienna:2255749,verified
Trinkbrunnen,drinking_fountain,,48.2399678244,16.4737193109,verified,vienna:2255750,verified
Trinkbrunnen,drinking_fountain,,48.2399071762,16.4737208285,verified,vienna:2255751,verified
Trinkbrunnen,drinking_fountain,,48.2406648822,16.4742176938,verified,vienna:2255752,verified
Trinkbrunnen,drinking_fountain,,48.1989423332,16.3385926843,verified,vienna:2255753,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1964478658,16.2858579385,verified,vienna:2255754,verified
Trinkbrunnen,drinking_fountain,,48.2093112848,16.3587058627,verified,vienna:2255755,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1321407473,16.2557532851,verified,vienna:2255756,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.195074485,16.2854775669,verified,vienna:2255758,verified
Trinkbrunnen,drinking_fountain,,48.2167418511,16.3723434759,verified,vienna:2255759,verified
Trinkbrunnen,drinking_fountain,,48.2164176097,16.3292709092,verified,vienna:2255763,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1955459025,16.2611212171,verified,vienna:2255764,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1802582813,16.2898646289,verified,vienna:2255765,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1592233247,16.2910575342,verified,vienna:2255766,verified
Trinkbrunnen,drinking_fountain,,48.2633833628,16.4432126562,verified,vienna:2255767,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1393410001,16.2778988626,verified,vienna:2255777,verified
Trinkbrunnen,drinking_fountain,,48.1666381883,16.4183687023,verified,vienna:2255792,verified
Trinkbrunnen,drinking_fountain,,48.1542951653,16.2898930926,verified,vienna:2255793,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1689478053,16.308030724,verified,vienna:2255818,verified
Trinkbrunnen,drinking_fountain,,48.159433872,16.475835954,verified,vienna:2255827,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1764406106,16.332391678,verified,vienna:2255829,verified
Trinkbrunnen,drinking_fountain,,48.2250665157,16.3858220372,verified,vienna:2255838,verified
Trinkbrunnen,drinking_fountain,,48.2064266898,16.3143083835,verified,vienna:2255415,verified
Trinkbrunnen,drinking_fountain,,48.2063828172,16.3151682245,verified,vienna:2255416,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2159348476,16.3596818513,verified,vienna:2255417,verified
Trinkbrunnen,drinking_fountain,,48.212735407,16.488845228,verified,vienna:2255418,verified
Trinkbrunnen,drinking_fountain,,48.2242519884,16.4516214393,verified,vienna:2255419,verified
Trinkbrunnen,drinking_fountain,,48.213298934,16.3356021933,verified,vienna:2255420,verified
Trinkbrunnen,drinking_fountain,,48.2136346207,16.3351613006,verified,vienna:2255421,verified
Trinkbrunnen,drinking_fountain,,48.2135649044,16.3349615903,verified,vienna:2255422,verified
Trinkbrunnen,drinking_fountain,,48.2446929133,16.3258242167,verified,vienna:2255423,verified
Trinkbrunnen,drinking_fountain,,48.2213621422,16.3169318089,verified,vienna:2255424,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2001187872,16.3135108086,verified,vienna:2255425,verified
Trinkbrunnen,drinking_fountain,,48.1694007959,16.3520725085,verified,vienna:2255427,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2045689699,16.3465166254,verified,vienna:2255429,verified
Trinkbrunnen,drinking_fountain,,48.2014319093,16.338537466,verified,vienna:2255430,verified
Trinkbrunnen,drinking_fountain,,48.2076211691,16.3406693166,verified,vienna:2255431,verified
Trinkbrunnen,drinking_fountain,,48.1989014063,16.3473425169,verified,vienna:2255432,verified
Trinkbrunnen,drinking_fountain,,48.2088438344,16.3453550482,verified,vienna:2255433,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2234671112,16.358717653,verified,vienna:2255434,verified
Trinkbrunnen,drinking_fountain,,48.2297306399,16.3525298864,verified,vienna:2255436,verified
Trinkbrunnen,drinking_fountain,,48.2914398911,16.4151738521,verified,vienna:2255437,verified
Trinkbrunnen,drinking_fountain,,48.1587730321,16.3193854493,verified,vienna:2255438,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2801449554,16.4216665868,verified,vienna:2255439,verified
Trinkbrunnen,drinking_fountain,,48.2692585334,16.4487849177,verified,vienna:2255440,verified
Trinkbrunnen,drinking_fountain,,48.2704241086,16.4500359945,verified,vienna:2255441,verified
Trinkbrunnen,drinking_fountain,,48.2701988038,16.454875076,verified,vienna:2255442,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2775064426,16.4124448176,verified,vienna:2255443,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2292685598,16.5347851295,verified,vienna:2255444,verified
Trinkbrunnen,drinking_fountain,,48.295378764,16.3891581742,verified,vienna:2255445,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2455547431,16.3185177629,verified,vienna:2255446,verified
