FID,SHAPE,NAME,TYP_NUM,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.2255748,POINT (16.32592771593872 48.212913790547624),Trinkbrunnen,4,2255748,
TRINKBRUNNENOGD.2255749,POINT (16.47379576776317 48.23993838096623),Trinkbrunnen,4,2255749,
TRINKBRUNNENOGD.2255750,POINT (16.473719310932733 48.239967824396345),Trinkbrunnen,4,2255750,
TRINKBRUNNENOGD.2255751,POINT (16.473720828450936 48.23990717622222),Trinkbrunnen,4,2255751,
TRINKBRUNNENOGD.2255752,POINT (16.474217693776392 48.24066488215793),Trinkbrunnen,4,2255752,
TRINKBRUNNENOGD.2255753,POINT (16.338592684271447 48.19894233318957),Trinkbrunnen,4,2255753,
TRINKBRUNNENOGD.2255754,POINT (16.28585793847822 48.196447865800245),Trinkbrunnen mit Tränke,5,2255754,
TRINKBRUNNENOGD.2255755,POINT (16.358705862652414 48.209311284818995),Trinkbrunnen,4,2255755,
TRINKBRUNNENOGD.2255756,POINT (16.255753285098585 48.132140747328926),Trinkbrunnen mit Tränke,5,2255756,
TRINKBRUNNENOGD.2255757,POINT (16.460732050276995 48.153725344452894),Spielbrunnen,3,2255757,
TRINKBRUNNENOGD.2255758,POINT (16.28547756690336 48.19507448502919),Trinkbrunnen mit Tränke,5,2255758,
TRINKBRUNNENOGD.2255759,POINT (16.37234347585566 48.216741851144754),Trinkbrunnen,4,2255759,
TRINKBRUNNENOGD.2255760,POINT (16.270971582594353 48.19054573168268),Sprühnebeldusche,11,2255760,
TRINKBRUNNENOGD.2255761,POINT (16.27096185467547 48.19048818916224),Sprühnebeldusche,11,2255761,
TRINKBRUNNENOGD.2255762,POINT (16.27092740978689 48.19047967011113),Sprühnebeldusche,11,2255762,
TRINKBRUNNENOGD.2255763,POINT (16.32927090921508 48.21641760974688),Trinkbrunnen,4,2255763,
TRINKBRUNNENOGD.2255764,POINT (16.26112121711267 48.19554590250516),Trinkbrunnen mit Tränke,5,2255764,
TRINKBRUNNENOGD.2255765,POINT (16.289864628915332 48.180258281320505),Trinkbrunnen mit Tränke,5,2255765,
TRINKBRUNNENOGD.2255766,POINT (16.29105753422206 48.15922332472231),Trinkbrunnen mit Tränke,5,2255766,
TRINKBRUNNENOGD.2255767,POINT (16.443212656177668 48.263383362795466),Trinkbrunnen,4,2255767,
TRINKBRUNNENOGD.2255768,POINT (16.393672090815365 48.27355933847366),Grundwasserbrunnen,1,2255768,
TRINKBRUNNENOGD.2255769,POINT (16.393666531995926 48.273579341948654),Grundwasserbrunnen,1,2255769,
TRINKBRUNNENOGD.2255770,POINT (16.27439415162528 48.19737782517336),Sprühnebeldusche,11,2255770,
TRINKBRUNNENOGD.2255771,POINT (16.325954068146213 48.214947679505094),Sprühnebeldusche,11,2255771,
TRINKBRUNNENOGD.2255772,POINT (16.325978851271447 48.21492983557137),Sprühnebeldusche,11,2255772,
TRINKBRUNNENOGD.2255773,POINT (16.30616099053215 48.19798020920912),Spielbrunnen,3,2255773,
TRINKBRUNNENOGD.2255774,POINT (16.43197036207251 48.24715996453735),Spielbrunnen,3,2255774,
TRINKBRUNNENOGD.2255775,POINT (16.47428200568531 48.22268876434539),Wasserspielmöglichkeit,13,2255775,
TRINKBRUNNENOGD.2255776,POINT (16.39995516828005 48.25481422694573),Sprühnebeldusche,11,2255776,
TRINKBRUNNENOGD.2255777,POINT (16.277898862602772 48.139341000132966),Trinkbrunnen mit Tränke,5,2255777,
TRINKBRUNNENOGD.2255778,POINT (16.399944604040154 48.2548264167247),Sprühnebeldusche,11,2255778,
TRINKBRUNNENOGD.2255779,POINT (16.39992990775603 48.25483606733199),Sprühnebeldusche,11,2255779,
TRINKBRUNNENOGD.2255780,POINT (16.407876040730848 48.255090910945825),Sprühnebeldusche,11,2255780,
TRINKBRUNNENOGD.2255781,POINT (16.407865494252025 48.255089462434476),Sprühnebeldusche,11,2255781,
TRINKBRUNNENOGD.2255782,POINT (16.303073795917154 48.19545806900052),Sprühnebeldusche,11,2255782,
TRINKBRUNNENOGD.2255783,POINT (16.303077798249628 48.19543408517948),Sprühnebeldusche,11,2255783,
TRINKBRUNNENOGD.2255784,POINT (16.303082654846126 48.19540781732069),Sprühnebeldusche,11,2255784,
TRINKBRUNNENOGD.2255785,POINT (16.34491555868626 48.19952598704214),Sprühnebeldusche,11,2255785,
TRINKBRUNNENOGD.2255786,POINT (16.344921853352062 48.199496861973984),Sprühnebeldusche,11,2255786,
TRINKBRUNNENOGD.2255787,POINT (16.344918760464616 48.19951121001535),Sprühnebeldusche,11,2255787,
TRINKBRUNNENOGD.2255788,POINT (16.345568562245838 48.211020105462204),Sprühnebeldusche,11,2255788,
TRINKBRUNNENOGD.2255789,POINT (16.345535237293433 48.21100254804013),Sprühnebeldusche,11,2255789,
TRINKBRUNNENOGD.2255790,POINT (16.34555318117553 48.21101025645472),Sprühnebeldusche,11,2255790,
TRINKBRUNNENOGD.2255791,POINT (16.443090674946898 48.161142891801006),Bodenfontäne,12,2255791,
TRINKBRUNNENOGD.2255792,POINT (16.418368702280425 48.16663818825516),Trinkbrunnen,4,2255792,
TRINKBRUNNENOGD.2255793,POINT (16.289893092580076 48.15429516531487),Trinkbrunnen,4,2255793,
TRINKBRUNNENOGD.2255794,POINT (16.460515280730714 48.15377396052072),Bodenfontäne,12,2255794,
TRINKBRUNNENOGD.2255795,POINT (16.33519301407396 48.21344817010359),Bodenfontäne,12,2255795,
TRINKBRUNNENOGD.2255796,POINT (16.326081096839438 48.212942732524766),Bodenfontäne,12,2255796,
TRINKBRUNNENOGD.2255797,POINT (16.40031535783957 48.220548543054214),Bodenfontäne,12,2255797,
TRINKBRUNNENOGD.2255798,POINT (16.50249080451681 48.227719775097576),Bodenfontäne,12,2255798,
TRINKBRUNNENOGD.2255799,POINT (16.34254516088712 48.207553675553896),Bodenfontäne,12,2255799,
TRINKBRUNNENOGD.2255800,POINT (16.328400268733986 48.17284650982214),Wasserspielmöglichkeit,13,2255800,
TRINKBRUNNENOGD.2255801,POINT (16.441775181145402 48.1925819622387),Wasserspielmöglichkeit,13,2255801,
TRINKBRUNNENOGD.2255802,POINT (16.406494094918337 48.20393848032747),Wasserspielmöglichkeit,13,2255802,
TRINKBRUNNENOGD.2255803,POINT (16.4171339524484 48.1991811111726),Wasserspielmöglichkeit,13,2255803,
TRINKBRUNNENOGD.2255804,POINT (16.384920469377498 48.213219996361495),Wasserspielmöglichkeit,13,2255804,
TRINKBRUNNENOGD.2255805,POINT (16.405213669487637 48.216864087982664),Wasserspielmöglichkeit,13,2255805,
TRINKBRUNNENOGD.2255806,POINT (16.347129975800588 48.19248639616572),Wasserspielmöglichkeit,13,2255806,
TRINKBRUNNENOGD.2255807,POINT (16.355733123578208 48.20372431479678),Wasserspielmöglichkeit,13,2255807,
TRINKBRUNNENOGD.2255808,POINT (16.350353271035743 48.21268398371388),Spielbrunnen,3,2255808,
TRINKBRUNNENOGD.2255809,POINT (16.326990191635822 48.159027682135296),Wasserspielmöglichkeit,13,2255809,
TRINKBRUNNENOGD.2255810,POINT (16.378007570239568 48.24885988372031),Wasserspielmöglichkeit,13,2255810,
TRINKBRUNNENOGD.2255811,POINT (16.41718776358986 48.294659234034974),Wasserspielmöglichkeit,13,2255811,
TRINKBRUNNENOGD.2255812,POINT (16.38386286769582 48.269859696169625),Wasserspielmöglichkeit,13,2255812,
TRINKBRUNNENOGD.2255813,POINT (16.461205162758315 48.23413584979397),Wasserspielmöglichkeit,13,2255813,
TRINKBRUNNENOGD.2255814,POINT (16.44151331534793 48.24520912762996),Wasserspielmöglichkeit,13,2255814,
TRINKBRUNNENOGD.2255815,POINT (16.477677861675158 48.253782845360305),Wasserspielmöglichkeit,13,2255815,
TRINKBRUNNENOGD.2255816,POINT (16.475535283731116 48.21245639956187),Wasserspielmöglichkeit,13,2255816,
TRINKBRUNNENOGD.2255817,POINT (16.49045297743501 48.21452561230747),Wasserspielmöglichkeit,13,2255817,
TRINKBRUNNENOGD.2255818,POINT (16.308030724038847 48.168947805267415),Trinkbrunnen mit Tränke,5,2255818,
TRINKBRUNNENOGD.2255819,POINT (16.407277993149464 48.25526705628379),Sprühnebeldusche,11,2255819,
TRINKBRUNNENOGD.2255820,POINT (16.30596832467564 48.19831536100818),Bodenfontäne,12,2255820,
TRINKBRUNNENOGD.2255821,POINT (16.305984453158295 48.19843277282971),Sprühnebeldusche,11,2255821,
TRINKBRUNNENOGD.2255822,POINT (16.30600395234443 48.198429302955155),Sprühnebeldusche,11,2255822,
TRINKBRUNNENOGD.2255823,POINT (16.306023612950952 48.19842583222027),Sprühnebeldusche,11,2255823,
TRINKBRUNNENOGD.2255824,POINT (16.366689142474836 48.25352940475963),Sprühnebeldusche,11,2255824,
TRINKBRUNNENOGD.2255825,POINT (16.460159102725846 48.15341736503969),Spielbrunnen,3,2255825,
TRINKBRUNNENOGD.2255826,POINT (16.4622270623082 48.15337501572838),Spielbrunnen,3,2255826,
TRINKBRUNNENOGD.2255827,POINT (16.475835953977164 48.15943387201676),Trinkbrunnen,4,2255827,
TRINKBRUNNENOGD.2255828,POINT (16.315397839797495 48.206304734668876),Sprühnebeldusche,11,2255828,
TRINKBRUNNENOGD.2255829,POINT (16.33239167799652 48.17644061056489),Trinkbrunnen mit Tränke,5,2255829,
TRINKBRUNNENOGD.2255830,POINT (16.413585836541206 48.22513877168609),Wasserspielmöglichkeit,13,2255830,
TRINKBRUNNENOGD.2255831,POINT (16.369819551685943 48.19999763168824),Sprühnebeldusche,11,2255831,
TRINKBRUNNENOGD.2255832,POINT (16.335565707636636 48.21333306932209),Sprühnebeldusche,11,2255832,
TRINKBRUNNENOGD.2255833,POINT (16.475789394420364 48.21243309371587),Sprühnebeldusche,11,2255833,
TRINKBRUNNENOGD.2255834,POINT (16.49079380539098 48.22576966700867),Sprühnebeldusche,11,2255834,
TRINKBRUNNENOGD.2255835,POINT (16.488618790676046 48.212132002785204),Sprühnebeldusche,11,2255835,
TRINKBRUNNENOGD.2255836,POINT (16.368158479359835 48.17520751556616),Sprühnebeldusche,11,2255836,
TRINKBRUNNENOGD.2255837,POINT (16.41014600458498 48.232027073401575),Sprühnebeldusche,11,2255837,
